,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
27262,13.9,1.05,favori,favori,0.06644797,0.933552
27263,2.27,1.71,challenger,challenger,0.5548824,0.4451176
27264,6.35,1.15,favori,favori,0.2316131,0.7683869
27265,24.52,1.02,favori,favori,0.031560004,0.96844
27266,2.37,1.66,challenger,challenger,0.570052,0.429948
27267,6.7,1.14,favori,favori,0.1775018,0.8224982
27268,3.64,1.33,favori,favori,0.24441433,0.7555857
27269,8.83,1.1,favori,favori,0.11187011,0.8881299
27270,13.44,1.05,favori,favori,0.03767699,0.962323
27271,24.52,1.02,favori,favori,0.026718318,0.9732817
27272,1.88,2.02,challenger,favori,0.40763587,0.59236413
27273,6.35,1.15,favori,favori,0.17592305,0.82407695
27274,1.77,2.18,challenger,favori,0.3922398,0.6077602
27275,6.02,1.17,favori,favori,0.24260956,0.75739044
27276,13.9,1.05,favori,favori,0.053616166,0.94638383
27277,1.56,2.61,favori,favori,0.3761623,0.6238377
27278,15.92,1.04,favori,favori,0.09511292,0.9048871
27279,22.73,1.02,challenger,favori,0.039822698,0.9601773
27280,2.28,1.71,favori,favori,0.48730093,0.51269907
27281,8.04,1.11,favori,favori,0.22687697,0.773123
27282,3.9,1.3,favori,favori,0.25946712,0.7405329
27283,8.67,1.1,favori,favori,0.22910619,0.7708938
27284,8.17,1.11,favori,favori,0.14767146,0.85232854
27285,3.33,1.38,challenger,favori,0.23678958,0.7632104
27286,3.16,1.41,favori,favori,0.28784543,0.71215457
27287,10.16,1.08,favori,favori,0.03815049,0.9618495
27288,3.78,1.32,favori,favori,0.26036865,0.73963135
27289,5.66,1.18,favori,favori,0.18642062,0.8135794
27290,4.12,1.28,favori,favori,0.17840052,0.8215995
27291,4.31,1.26,challenger,favori,0.22235262,0.7776474
27292,3.27,1.39,favori,favori,0.27030748,0.7296925
27293,2.52,1.6,challenger,favori,0.3936479,0.6063521
27294,16.99,1.04,favori,favori,0.070823014,0.929177
27295,3.88,1.3,favori,favori,0.312851,0.687149
27296,2.07,1.86,challenger,favori,0.4329126,0.5670874
27297,11.6,1.07,favori,favori,0.068585455,0.93141454
27298,8.73,1.1,favori,favori,0.21322483,0.7867752
27299,27.78,1.02,favori,favori,0.041795254,0.95820475
27300,2.36,1.68,challenger,favori,0.45512992,0.5448701
27301,3.2,1.41,favori,favori,0.45446008,0.5455399
27302,5.45,1.2,favori,favori,0.24504769,0.7549523
27303,1.72,2.27,challenger,challenger,0.5870028,0.4129972
27304,3.5,1.36,favori,favori,0.039987743,0.96001226
27305,2.57,1.58,challenger,favori,0.4338696,0.5661304
27306,4.15,1.28,favori,favori,0.2281102,0.7718898
27307,14.88,1.05,favori,favori,0.1239813,0.8760187
27308,7.47,1.13,favori,favori,0.065499425,0.9345006
